PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Fare,Cabin,Embarked
339,0,3,"Miller, Mr. Mary",male,37.0,2,1,34.53,E13,Q
68,0,3,"Jackson, Mrs. Barbara",female,,0,0,62.55,,C
56,1,3,"Taylor, Mr. Patricia",male,18.1,0,1,29.38,B75,S
65,1,2,"Jackson, Mrs. David",female,11.9,3,0,61.07,,S
249,1,3,"Williams, Mrs. Barbara",female,38.2,1,0,38.59,,C
7,0,1,"Garcia, Mr. Thomas",male,,0,0,48.54,,S
399,0,3,"Miller, Mrs. Richard",female,,0,2,,,
349,1,2,"Williams, Mrs. Elizabeth",female,28.4,2,0,78.04,,Q
258,0,3,"Smith, Mr. Karen",male,32.1,0,1,53.98,,C
283,1,2,"Lopez, Mr. James",male,29.4,0,0,39.07,,C
252,0,2,"Moore, Mr. Karen",male,17.8,0,2,36.44,,S
270,0,2,"Taylor, Mr. Linda",male,44.5,0,0,33.08,,S
321,0,3,"Gonzalez, Mrs. Jennifer",female,11.1,0,1,26.61,,S
294,0,2,"Taylor, Mr. Jessica",male,51.1,0,2,30.8,,S
320,1,2,"Williams, Mrs. Patricia",female,21.1,0,0,65.87,B78,Q
62,1,2,"Hernandez, Mr. Mary",MALE  ,13.2,0,2,85.71,,S
350,0,3,"Hernandez, Mr. David",male,9.0,1,1,40.61,,S
155,1,3,"Gonzalez, Mrs. Richard",female,37.7,1,0,35.11,C60,S
26,1,3,"Wilson, Mr. Richard",male,25.2,0,0,50.23,D50,S
304,0,3,"Martin, Mr. Jennifer",MALE  ,19.2,0,3,77.43,,S
371,1,1,"Williams, Mr. Karen",male,31.9,0,0,59.32,,S
12,1,3,"Gonzalez, Mrs. David",female,50.4,0,1,59.19,B69,C
203,0,1,"Lopez, Mr. James",male,61.2,0,0,79.43,,S
167,0,2,"Wilson, Mr. John",male,40.7,0,0,48.87,,S
313,0,1,"Taylor, Mr. John",male,,0,0,54.74,,Q
107,1,2,"Anderson, Mrs. Linda",female,,0,3,57.19,,S
287,0,3,"Martinez, Mr. Joseph",male,,2,0,38.31,,S
140,0,3,"Jackson, Mr. Barbara",male,,0,0,26.72,,S
